Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Raul Gomes Marcello,Ribeiro Jiu-Jitsu,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Rooster,2,Victor Santos Gomes,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,1,Hiago George Santos Silva,PSLPB Cicero Costha,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,2,Kelvyn Batista Pontes,Game Fight BJJ/Manimal,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,3,Jose Carlos Souza Lima Sobrinho,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,3,Luiz Fernando Ribeiro de Andrade,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Feather,1,Isaque Alberto de Oliveira Paiva,Saikoo Jiu-Jitsu,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Feather,2,Bruno Celio Costa de Melo,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Feather,3,Kaio Cesar Abrantes Fonseca,Gracie Barra,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Feather,3,Raphael da Costa Cadena,A2 Jiu-Jitsu,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light,1,Kim Terra,Caio Terra Association Brasil,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light,2,Fabio Murat Caloi,Alliance SP,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light,3,Herbert Mitchell Pontes Burns,Associação Oriente,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Light,3,Renan Sancar Santos,Calasans BJJ,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Middle,1,Edson Antonio de Oliveira Filho,Alliance SP,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Middle,2,Phillip Augusto Diniz Franca,Gracie Barra,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Middle,3,José Antonio Greco Júnior,CT MR,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Middle,3,Matheus Guilherme da Costa,GF Team JJ,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,1,Claudio de Mattos Cardoso,Gracie Barra,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,2,Diego Dias Ramalho,ZR Team Brasil,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,3,Gabriel Procópio da Fonseca,Brazilian Top Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,3,Ruan Marques de Oliveira,Soul Fighters BJJ,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,1,Dimitrius Soares Souza,Alliance SP,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,2,Victor Del Corso Bomfim,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,3,Bruno Ferreira Cuppari,Academia Eduardo Santoro,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,3,Wesley Lobo Archete,Gracie Barra,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,1,Max dos Santos Gimenis,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,2,Leonardo da Costa Maciel,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,3,Bruno Leonardo Torres de Souza,Gracie Humaita,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,3,Christofer Biude Moreira Feijó,CheckMat,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,1,Antonio de Padua Assef Nunes Nascimento,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,2,Otavio Tome Serafim,Barbosa Jiu-Jitsu,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,3,Diego Ballouta Cardoso Braz,Gracie Barra,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,3,Otávio Nascimento Gil Coutinho,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,1,Dimitrius Soares Souza,Alliance SP,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,2,Max dos Santos Gimenis,GF Team,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,3,Fabio Murat Caloi,Alliance SP,2016,Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,3,Kim Terra,Caio Terra Association Brasil,2016,Brasileiro Sem Kimono 
Adult,Female,Black,Middle,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2016,Brasileiro Sem Kimono 
Adult,Female,Black,Middle,2,Adriana Martins Duarte Pinto,Akxe BJJ,2016,Brasileiro Sem Kimono 
Adult,Female,Black,Open Class,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2016,Brasileiro Sem Kimono 
Adult,Female,Black,Open Class,2,Jackeline Rodrigues M. de Oliveira,Alliance SP,2016,Brasileiro Sem Kimono 
