Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Marcus Adriano S. Oliveira,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Rooster,2,Pablo Souza Teixeira,Brazilian Fight,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Light Feather,1,Thiago Teixeira do,Equipe Marcio Rodrigues,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Light Feather,2,Felipe P. da Costa e Silva,Brasa,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Feather,1,Helbert Mitchel Pontes Burns,Gilbert Durinho,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Feather,2,Andre Luis Siqueira Pinheiro,Godoi JJ Club,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Feather,3,Bruno Cardoso Barbosa,Team Buda,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Feather,3,Erick Vinicius Raposo Oliveira,Ac Judson Borges,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Light,1,Leandro Pereira do,Game Fight BJJ,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Light,2,Theodoro Gabriel Canal,GF Team,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Light,3,Kim Terra,Check Mat Bjj,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Light,3,Tiago Bravo dos Santos,Brasa,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Middle,1,Murilo Silva Ferreira Santana,Barbosa JJ,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Middle,2,Sandro Gabriel Vieira,Check Mat Bjj,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Middle,3,Luiz Fernando Serao Allevato,Carlson Gracie Team,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Middle,3,Tiago Coelho P. Rocha,Alliance,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Medium Heavy,1,Kleber de Oliveira Paulino,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Medium Heavy,2,Victor Del Corso Bom Fim,Evolve Gordo Jiu-Jitsu,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Medium Heavy,3,Rogel Alexandre Monsalve,Alliance,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Medium Heavy,3,Marcelo Santos Azevedo,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Heavy,1,Mauro Celso,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Heavy,2,Nilson Ricardo Silva,Nova Uniao,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Heavy,3,Diogo Sampaio,Soul Fighters,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Super Heavy,1,Frederico Zaganelli,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Super Heavy,2,Antonio Jose,Gracie Humaita,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Super Heavy,3,Arthur Rosa,DDR Jiu-Jitsu,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Ultra Heavy,1,Bruno Bastos Cruz,Nova Uniao,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Ultra Heavy,2,WO,None,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Ultra Heavy,3,Rodolfo Garcia de Moraes,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Open Class,1,Kleber Oliveira,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Open Class,2,Frederico Zaganelli,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Open Class,3,Alfredo Mikas,Alliance,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Black,Male,Open Class,3,Kim Terra,Check Mat Bjj,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Light Feather,1,Bruna Andre do Nascimento,Top Brothers,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Light Feather,2,Elizangela Meireles,Gaviao,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Feather,1,Ana Michelle Tavares Dantas,Gracie Humaita,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Feather,2,Marina Soares Ribeiro,Check Mat Bjj,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Feather,3,Marcela Thomaz Aquino Alves,Guigo JJ,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Light,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Light,2,Bibiana Dios Tan,Sul JJ,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Middle,1,Rosalind Ferreira,Gaviao,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Middle,2,Ana Beth Lowry,Barbosa JJ,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Medium Heavy,1,Luiza Monteiro,Check Mat Bjj,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Heavy,1,Luzia Carmem,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Heavy,2,Carla de Souza,Gracie Barra,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Open Class,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Open Class,2,Luiza Monteiro,Check Mat Bjj,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Open Class,3,Bruna Andre,Top Brothers,2011,Brazilian National Jiu-Jitsu No-Gi Championship
Adult,Brown Black,Female,Open Class,3,Marcela Thomaz Aquino Alves,Guigo JJ,2011,Brazilian National Jiu-Jitsu No-Gi Championship
