Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light Feather,1,BRUNO MALFACINE,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Feather,1,RAONI BARCELOS,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light,1,MICHAEL LANGHI,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Middle,1,TIAGO ALVES,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Medium Heavy,1,FELIPE SILVA,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Heavy,1,BERNARDO AUGUSTO,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Super Heavy,1,FABRICIO DO COUTO DE,Mestre Wilson
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Ultra Heavy,1,IGOR SILVA,Brasa
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Open Class,1,MURILO SANTANA,BARBOSA JJ SP
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light Feather,2,LEANDRO ESCOBAR,Soul Fighters
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Feather,2,GABRIEL WILLCOX,Brazilian Fight
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light,2,HELDER MEDEIROS,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Middle,2,MURILO SANTANA,BARBOSA JJ SP
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Medium Heavy,2,VICTOR BONFIM,EVOLVE GORDO JIU-JITSU
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Heavy,2,MAURO CELSO SANTIAGO,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Ultra Heavy,2,EDER LIMA,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Open Class,2,NILSON RICARDO,Nova Uniao
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light Feather,3,FABBIO PASSOS ALENCAR,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Feather,3,MAXMILIANO CAMPOS,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Feather,3,MARCIO RODRIGUES DE,GF TEAM
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light,3,TAEDES MENDONCA JR,Mestre Wilson
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Light,3,FABRICIO MEDEIROS,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Middle,3,RAFAEL BARBOSA,Soul Fighters
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Middle,3,VICTOR INACIO NETO,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Medium Heavy,3,FABIANO JUNIOR LEITE DE,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Medium Heavy,3,EDUARDO TELLES,Brasa
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Heavy,3,DIEGO ROUXINOL VILAR,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Heavy,3,VALDIR ARAUJO JR,Osvaldo Alves
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Ultra Heavy,3,VINICIUS DE BARROS,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Open Class,3,TIAGO ALVES,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Black,Male,Open Class,3,KLEBER PAULINO,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Light Feather,1,ELIZANGELA MEIRELES,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Feather,1,HELLEN BASTOS TEIXEIRA,GF TEAM
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Light,1,BEATRIZ DE OLIVEIRA,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Middle,1,ROSALIND FERREIRA,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Medium Heavy,1,TALITA ANDREA NOGUEIRA,Ryan Gracie
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Heavy,1,LUCIANA DE SOUZA PINTO,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Open Class,1,TALITA ANDREA NOGUEIRA,Ryan Gracie
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Light Feather,2,BRUNA ANDRE DO,Top Brothers
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Feather,2,MARINA SOARES RIBEIRO,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Light,2,PATRICIA DE OLIVEIRA LAGE,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Middle,2,TATIANA CORDEIRO,Brazilian Fight
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Medium Heavy,2,FERNANDA MAZZELLI,Agnaldo Goes
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Open Class,2,TATIANA CORDEIRO,Brazilian Fight
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Open Class,3,ROSALIND FERREIRA,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2009,Adult,Brown Black,Female,Open Class,3,LUCIANA DE SOUZA PINTO,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light Feather,1,Rufino Gomes Araujo Neto,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Feather,1,Leonardo Souza Silva,Evolve Gordo Jiu-Jitsu
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light,1,Davi Ramos Pinheiro da Silva,Top Brothers
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Middle,1,Tiago Gomes Dias Alves,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Medium Heavy,1,Kleber Oliveira Paulino,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Heavy,1,Rafael Bettega Costa,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Super Heavy,1,Antonio Carlos Peinado,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Ultra Heavy,1,Luiz Felipe Oliveira Theodoro,Godoi JJ Club
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Open Class,1,Victor Costa,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light Feather,2,Leandro Escobar,Soul Fighters
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Feather,2,Andre Luis Siqueira Pinheiro,Godoi JJ Club
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light,2,Marcio Rodrigues de Abreu,GF Team Sergipe
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Middle,2,Jonatas Novaes do,Brasa
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Medium Heavy,2,Murilo Silva Ferreira Santana,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Heavy,2,Marcos Maciel de Oliveira,Brazilian Top Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Super Heavy,2,Victor Costa,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Ultra Heavy,2,Igor Silva,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Open Class,2,Nilson Braga,Nova Uniao
