Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Raul Gomes Marcello,Gracie Humaita,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Rooster,2,Tiago Marques Magalhães,Burton Deyves BJJ Team,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,1,Douglas Rufino da Silva,CheckMat,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,2,Leandro Luiz da Silva,CheckMat Brasil,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,3,Paulo Cezar Alves Pinheiro,Gracie Barra,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light-Feather,3,Thiago Teixeira do Nascimento,CT MR,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light,2,Kim Terra,CheckMat,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light,3,Antonio Roberto Crivelari Junior,CheckMat,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Light,3,Fabio Gibson Soares Santos,De La Riva JJ,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Middle,1,Vinícius Tavares Marinho,GF Team,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Middle,2,Murilo Silva Ferreira de Santana,Barbosa JJ e MMA,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Middle,3,Edson Diniz Fidelis,Infight JJ,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Middle,3,Victor Inacio de Mendonça Neto,Barbosa JJ e MMA,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,1,Alberto Ramos de Araujo Oliveira,GF Team,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,2,Romulo de Souza Azevedo,Welton Ribeiro,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,3,Italo Ramon Magalhães Vieira,CheckMat Brasil,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Medium-Heavy,3,Paulo José Pinto,Alliance,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,1,Leonardo da Costa Maciel,GF Team,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,2,Ricardo Ramos de Mesquita,Alliance,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,3,Manoel Fernandes de Oliveira Neto,GF Team,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Heavy,3,Rubens Pedroso,Infight SP,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,1,Mauro Celso Santiago,Gracie Barra Belo Horizonte-MG,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,2,André Luiz do Nascimento Ramos,CT MR,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,3,Diego Turquino de Oliveira,Gracie Barra Cuiabá,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Super-Heavy,3,Raphael Bittencourt Quintanilha,Braga Jiu-Jitsu Brasil,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,1,Bruno Matias Soares,CheckMat Brasil,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,2,Walter Pinto da Silva Júnior,Broca Fight Team (BFT),2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,3,Gilmar Silva de Oliveira,Academia BSB,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Ultra-Heavy,3,Moises da Silva Flores Júnior,De La Riva JJ,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,2,Mauro Celso Santiago,Gracie Barra Belo Horizonte-MG,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,3,Filipe Meirelles Bobrick,Alliance,2012,Campeonato Brasileiro Sem Kimono 
Adult,Male,Black,Open Class,3,Manoel Fernandes de Oliveira Neto,GF Team,2012,Campeonato Brasileiro Sem Kimono 
Adult,Female,Black,Feather,1,Elizangela Meireles,Equipe Gavião JJ,2012,Campeonato Brasileiro Sem Kimono 
Adult,Female,Black,Medium-Heavy,1,Maria do Carmo Paixão Teixeira,De La Riva JJ,2012,Campeonato Brasileiro Sem Kimono 
Adult,Female,Black,Heavy,1,Talita Andrea Nogueira,Ryan Gracie Team B,2012,Campeonato Brasileiro Sem Kimono 
Adult,Female,Black,Open Class,1,Talita Andrea Nogueira,Ryan Gracie Team B,2012,Campeonato Brasileiro Sem Kimono 
Adult,Female,Black,Open Class,2,Elizangela Meireles,Equipe Gavião JJ,2012,Campeonato Brasileiro Sem Kimono 
Adult,Female,Black,Open Class,3,Maria do Carmo Paixão Teixeira,De La Riva JJ,2012,Campeonato Brasileiro Sem Kimono 
