Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Igor Rodrigues dos Santos,CheckMat Brasil,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,2,Felipe Pinto da Costa e Silva,Muzio BJJ,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,3,Leandro Lopes Escobar,Soul Fighters BJJ,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,3,Washington Luis do M. Lima,Top Brother,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,1,José Tiago da Silva Barros,PSLPB Cicero Costha,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,2,Ary de Melo Farias,Atos Jiu-Jitsu,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,3,Erick Vinicius Raposo,Soul Fighters BJJ,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,3,Francielio Fernandes da Costa,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,1,Leonardo Fernandes Saggioro,Brazilian Top Team,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,2,David Juliano Lemes,Atos Jiu-Jitsu,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,3,Daniel Fernando Nogueira,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,3,Isaque Alberto de Oliveira Paiva,PSLPB Cicero Costha,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,2,Michael Alexandre Langhi,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,3,Alexandre Henrique de Souza,Ryan Gracie Team B,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,3,Eduardo Ramos da Silva,Atos Jiu-Jitsu,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,1,Murilo Silva Ferreira de Santana,Barbosa JJ e MMA,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,2,Gabriel Rollo da Silva Pontes,CheckMat Brasil,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,3,Giderson Barros Ferreira,Carlson Gracie Clube,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,3,Gustavo Junqueira,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,1,Nivaldo de Oliveira Lima,CheckMat,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,2,William Martins Morais de Lima,ZR Team Brasil,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,3,Rodrigo Fajardo,Gracie Barra,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,3,Rômulo Claudio Barral,Gracie Barra,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,1,Alexandro Ceconi de Souza,Ceconi Team,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,2,Paulo Tarcisio Pessoa Jardim,CheckMat,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,3,Diogo Almeida Silva,Ryan Gracie Team B,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,3,Nilson Ricardo Silva Braga,Nova União,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,1,Leonardo Pires Nogueira,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,2,Bernardo Augusto Rocha de Faria,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,3,André Alberto W. Campos,Gracie Barra,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,3,Antônio Carlos de F. Barbosa Jr,CheckMat,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,1,Alexander Riis Hilligsoe Trans,CheckMat International,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,2,Thiago Gaia Taciano de Oliveira Marques,Nova União,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,3,Antonio Carlos Alexandre Peinado,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,3,Leonardo Gergis F. Leite,Alliance,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,1,Nivaldo de Oliveira Lima,CheckMat,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,2,Antônio Carlos de F. Barbosa Jr,CheckMat,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,3,Murilo Silva Ferreira de Santana,Barbosa JJ e MMA,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,3,Rômulo Claudio Barral,Gracie Barra,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light-Feather,1,Bruna Burns,Top Brother,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light-Feather,2,Bibiana Dios Tan Pacini S. Silva,Sul Jiu-Jitsu,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,1,Marina Soares de Araujo Ribeiro,CheckMat,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,2,Ana Michelle Tavares Dantas,Gracie Humaita,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,3,Andrea Emmel Encarnacion,014RBJJ,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,3,Lauriane Clarice dos Santos Mendes,Academia CM System,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light,1,Luiza Monteiro Moura da Costa,PSLPB Cicero Costha,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light,2,Barbara Gomes dos Santos,Universidade Católica de Brasília,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light,3,Hellen Bastos Teixeira,Game Fight BJJ/Manimal,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Medium-Heavy,1,Fernanda Mazzelli Almeida Maio,Striker JJ,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Medium-Heavy,2,Erika Carrarine Correia,Brazilian Fight,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Medium-Heavy,3,Daniela Lirio Olimpio de Souza,Marcelo Ferreira JJ,2012,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Heavy,1,Talita Andrea Nogueira,Ryan Gracie Team B,2012,Campeonato Brasileiro de Jiu-Jitsu 
