Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Rodrigo Otavio Ferreira de Oliveira,Dream Art,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Rooster,2,Welerson Gonçalves da Silva,Nova União,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Rooster,3,Italo Augusto Bonfim Frota,F3J Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Rooster,3,Wesley Ibrahim Martins,OLL Fight,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light-Feather,1,Diogo Pinheiro dos Reis,Fight Sports Brasil,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light-Feather,2,Cleber de Sousa Fernandes,Atos Jiu-Jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light-Feather,3,Fernando Fávari Aparecido,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light-Feather,3,Matheus Barbosa Rossi,Cicero Costha Internacional,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Feather,1,Fabricio Andrey Batista  Junior,Fight Sports Brasil,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Feather,2,Kennedy Leonardo Maciel,Alliance,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Feather,3,Raimundo Diego Pinto Sodre,Nova União,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Feather,3,Wilhiam Mateus Marques da Silva,ZR Team Association,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light,1,Pablo Lavaselli,Nova União,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light,2,Luiz Felipe dos Santos,Nova União,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light,3,Luiz Paulo Carneiro Medeiros,Fight Sports Brasil,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Light,3,Vitor Henrique Silva Oliveira,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Middle,1,Micael Ferreira Galvâo,Fight Sports,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Middle,2,Servio Tulio Cardoso Guimarães Junqueira,Gracie Barra,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Middle,3,Everton Daniel de Freitas,Núcleo JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Middle,3,Pedro Henrique Maia Costa,Six Blades Jiu-Jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Medium-Heavy,1,Matheus Spirandeli Souza,Alliance,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Medium-Heavy,2,Rafael Lopes Paganini,Dream Art,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Medium-Heavy,3,Murilo Silva Ferreira de Santana,Unity Jiu-jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Medium-Heavy,3,Wellington Luís Sebastião,Ns Brotherhood,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Heavy,1,Rider Zuchi Samelo do Amaral,Ns Brotherhood,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Heavy,2,Leon Denny Zambelli Brito,Brazilian Top Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Heavy,3,Gabriel Arantes Volante,R1NG BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Heavy,3,Leandro Carlos da Silva Santos,NS Brotherhood International,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Super-Heavy,1,Nicholas de Barcellos Meregali,Dream Art,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Super-Heavy,2,Fellipe Andrew Leandro Silva,Alliance,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Super-Heavy,3,Anderson Munis dos Santos,Dream Art,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Super-Heavy,3,Marcus Vinicius Ribeiro de Siqueira,Alliance,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Ultra-Heavy,1,Mason Fowler,Caio Terra Association,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Ultra-Heavy,2,Pedro Alex dos Santos Pimenta,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Ultra-Heavy,3,Herico Hesley de Albuquerque Pinto,Nova União,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Ultra-Heavy,3,Renan Marcel Rodrigues Vieira,Bravu's Brazilian,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Enum_WeightDivision_Absoluto_Label,1,Gutemberg de Jesus Santos Pereira,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Enum_WeightDivision_Absoluto_Label,2,Marcus Vinicius Ribeiro de Siqueira,Alliance,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Enum_WeightDivision_Absoluto_Label,3,Diogo Silveira do Nascimento,NS Brotherhood International,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Male,Black,Enum_WeightDivision_Absoluto_Label,3,Harryson Santana Pereira,Ataque Duplo,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Rooster,1,Mayssa Caldas Pereira Bastos,Unity Jiu-jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Rooster,2,Mariana  Rolszt,Gracie Humaita,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Rooster,3,Maria Eduarda  Tozoni Ono,Kronos BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Rooster,3,Thaís Loureiro Felipe,Atos Jiu-Jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Light-Feather,1,Brenda Larissa Alves da Silva,Fight Sports Brasil,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Light-Feather,2,Jessica Caroline Coelho Dantas,Caio Terra Association Brasil,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Feather,1,Bianca Barbosa Basilio,Atos Jiu-Jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Feather,2,Renata Paschoal D Avila,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Feather,3,Eduarda Sousa De Lima,Castro Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Feather,3,Swanny Patricia Guimaraes Batista,Vita BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Light,1,Nathalie Wan Soares Veras Ribeiro,CheckMat,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Light,2,Vitoria Carollina Araujo Vieira,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Light,3,Gessica Rodrigues Fong Nien,CheckMat,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Light,3,Luiara Gedeon Rochael Maciel,Gracie Barra,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Middle,1,Andressa Mezari Cintra,Gracie Barra,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Middle,2,Chloé  McNally,Unity Jiu-jitsu,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Middle,3,Éricka Wannessa Almeida,Gracie Barra,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Middle,3,Natália Zumba de Souza,Alliance,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Medium-Heavy,1,Sábatha Laís Francisco dos Santos,R1NG BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Medium-Heavy,2,Elisabeth Ann Clay,Ares BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Medium-Heavy,3,Márcia Karina Figueiredo Ramos,GF Team,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Medium-Heavy,3,Raiane Mara dos Santos,Gracie Barra,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Heavy,1,Fernanda Mazzelli Almeida Maio,Striker JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Heavy,2,Graciele Del Fava de Carvalho,Guigo JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Super-Heavy,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Super-Heavy,2,Claire-France Thevenon,Panda Supa Crew,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Super-Heavy,3,Carina Curvelo Santi,G13 BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Enum_WeightDivision_Absoluto_Label,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Enum_WeightDivision_Absoluto_Label,2,Fernanda Mazzelli Almeida Maio,Striker JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Enum_WeightDivision_Absoluto_Label,3,Carina Curvelo Santi,G13 BJJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
Adult,Female,Black,Enum_WeightDivision_Absoluto_Label,3,Graciele Del Fava de Carvalho,Guigo JJ,2022,"Campeonato Brasileiro de Jiu-Jitsu (Juvenil, Adulto e Master) "
