Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Bruno Malfacine,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Rooster,2,Felipe Costa,Brasa,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Rooster,3,Leandro Luiz da Silva,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Rooster,3,Ivaniel Cavalcante,Top Brothers,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light Feather,1,Guilherme Mendes,Atos,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light Feather,2,Gabriel Afonso Moraes,ASSOCIACAO MONTEIRO,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light Feather,3,Bernardo Pitel,Nova Uniao,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light Feather,3,Laercio Lima Fernandes,Cia Paulista,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Feather,1,Rafael Mendes,Atos,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Feather,2,Rubens Charles Maciel,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Feather,3,Cicero Barbosa da Costa,Barbosa JJ,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Feather,3,Theodoro Canal,GF TEAM,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light,1,Gilbert Burns,Atos,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light,2,Jonathan Torres,LIOYD IRVIN M.A.,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light,3,Vitor Henrique de Oliveira,GF TEAM,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Light,3,Augusto Lopes Mendes,Soul Fighters,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Middle,1,Murilo Silva Ferreira Santana,Barbosa JJ,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Middle,2,Tiago Alves,Barbosa JJ,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Middle,3,Luis Gustavo Campos,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Middle,3,Victor Del Corso Bonfim,Evolve Gordo Jiu-Jitsu,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Medium Heavy,1,Tarsis Humphreys,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Medium Heavy,2,Nivaldo Lima,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Medium Heavy,3,Eduardo Teles,Brasa,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Medium Heavy,3,Rodrigo Fajardo,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Heavy,1,Alexandre Ceconi,Rillion Gracie,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Heavy,2,Leonardo Nogueira,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Heavy,3,Rafael Lovato Jr,Lovatos BJJ,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Heavy,3,Bernardo Augusto de Faria,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Super Heavy,1,Thiago Gaia,Nova Uniao,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Super Heavy,2,Paulo Tarcisio Jardim,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Super Heavy,3,Felipe Pacces,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Super Heavy,3,Thiago Reinaldo de Souza,Asle,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Ultra Heavy,1,Rodrigo Cavaca,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Ultra Heavy,2,Igor Silva,Brasa,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Ultra Heavy,3,Josue Braganca,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Ultra Heavy,3,Antonio Peinado,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Open Class,1,Bernardo Farias,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Open Class,2,Rafael Lovato Jr,Ribeiro Jiu-Jitsu,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Open Class,3,Tarsis Humphreys,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Male,Open Class,3,Rodrigo Cavaca,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Rooster,1,Thaizar Albuquerque dos,GF TEAM,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Light Feather,1,Elisangela Silva Fernandes,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Light Feather,2,Roberta Parisini,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Feather,1,Bianca Andrade Barreto,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Feather,2,Vanessa Maria da Silva,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Feather,3,Marina Soares Riberio,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Feather,3,Ana Michelle Tavares Dantas,Gracie Humaita,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Light,1,Barbara Gomes dos Santos,Queiroz Saude,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Light,2,Lauriane Clarice dos Santos,CM System,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Middle,1,Luanna Alzuiguir,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Middle,2,Vanessa Oliveira do,GF TEAM,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Middle,3,Tania Mabel Andrade Barreto,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Medium Heavy,1,Fernanda Mazzelli,STRIKER JJ / GOES,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Medium Heavy,2,Polyana Lago Barbosa,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Ultra Heavy,1,Luzia Carmen Fernandes,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Open Class,1,Luzia Carmen Fernandes,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Open Class,2,Luanna Alzuiguir,Alliance,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Open Class,3,Tania Mabel Andrade Barreto,Gracie Barra,2010,Campeonato Brasileiro de Jiu-Jitsu
Adult,Black,Female,Open Class,3,Marina Soares Ribeiro,Checkmat Bjj,2010,Campeonato Brasileiro de Jiu-Jitsu
