Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Light Feather,1,Alberto Santos,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Feather,1,Royler Gracie,Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Light,1,Renzo Gracie,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Middle,1,Ailson Brites,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Medium Heavy,1,Amauri Bitetti,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Heavy,1,Fabio Gurgel,Master
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Super Heavy,1,Murilo Bustamante,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Ultra Heavy,1,Rogerio Olegario,Osvaldo Alves
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Open Class,1,Murilo Bustamante,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Light Feather,2,Vinicius Campbello,Master
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Feather,2,Alexandre Carneiro,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Light,2,Luiz Carlos Valoair,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Middle,2,Roberto Correa,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Medium Heavy,2,Marcelo Figueiredo,Borges
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Heavy,2,Sergio Souza,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Super Heavy,2,Leonardo C. Branco,Master
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Ultra Heavy,2,Ronald Bauer,Bauer
Campeonato Brasileiro de Jiu-Jitsu,1994,Adult,Black,Male,Open Class,2,Amauri Bitetti,Carlson Gracie
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Rooster,1,Marcos Barreto,Monir
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Light Feather,1,Helio Moreira,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Feather,1,Alexandre Carneiro,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Light,1,Eduardo Galvão,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Middle,1,Eduardo Conceição,Alliance
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Medium Heavy,1,Antonio Shembi,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Heavy,1,Fabio Gurgel,Alliance
Campeonato Brasileiro de Jiu-Jitsu,1996,Adult,Black,Male,Super Heavy,1,Roberto Magalhães,Gracie Barra
