Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Light-Feather,1,Cleber de Sousa Fernandes,Atos Jiu-Jitsu,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Light-Feather,2,Jorge Luiz Nakamura,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Light-Feather,3,Aniel  Bonifacio Candido,Qatar BJJ Brasil,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Feather,1,Alexandre de Souza Vieira,Brazilian Top Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Feather,2,José Tiago da Silva Barros,Cicero Costha Internacional,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Feather,3,Mackson Manhães Câmara,Gracie Barra,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Feather,3,Marcio Ferreira do Nascimento,Cicero Costha Internacional,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Light,1,Thiago Aragão de Abreu,CheckMat,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Light,2,Endres Barbosa da Silva Mendes,CheckMat,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Light,3,Ary de Melo Farias,Atos Jiu-Jitsu,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Light,3,Daniel Seth Davis,Open Mat Mixed Martial Arts,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Middle,1,Hugo Doerzapff Marques,Soul Fighters BJJ,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Middle,2,Ygor dos Santos Rodrigues,CT MR,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Middle,3,Felipe Cesar Silva,Unity Jiu-jitsu,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Middle,3,Marco Aurellio de Queiroz,Pirâmide Grappling Association,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Medium-Heavy,1,Pedro Henrique D. Conti Souza,CheckMat,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Medium-Heavy,2,Servio Tulio Cardoso Guimarães Junqueira,Gracie Barra,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Medium-Heavy,3,Abner Soares de Souza,Brazilian Top Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Medium-Heavy,3,Victor Hugo das Neves,Club Pina Brazilian Jiu-Jitsu,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Heavy,1,Thiago Sá Fortes Silva,CheckMat,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Heavy,2,Romulo de Souza Azevedo,Nova União,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Heavy,3,Cauê Oliveira Rodrigues,Gracie Barra,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Heavy,3,Victor Del Corso Bomfim,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Super-Heavy,1,Vinicius Ferreira Gazola,Alliance,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Super-Heavy,2,Marcos Aurélio Goulart Alves Junior,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Super-Heavy,3,Brenno José Novais Veloso da Silveira,Nova União,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Super-Heavy,3,Olavo dos Santos,Phelippe Lira Jiu-Jitsu,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Ultra-Heavy,1,Antonio Braga Texeira Neto,Babalu's Iron Gym,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Ultra-Heavy,2,Herico Hesley de Albuquerque Pinto,KMR BJJ KIMURA,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Ultra-Heavy,3,Leandro Jorge Pereira Vilar,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Ultra-Heavy,3,Raul Fernandes Almeida,Nova União,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Open Class,1,Hugo Doerzapff Marques,Soul Fighters BJJ,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Open Class,2,Felipe Cesar Silva,Unity Jiu-jitsu,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Open Class,3,Herico Hesley de Albuquerque Pinto,KMR BJJ KIMURA,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Male,Black,Open Class,3,Raul Fernandes Almeida,Nova União,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Female,Black,Light-Feather,1,Mayssa Caldas Pereira Bastos,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Female,Black,Light-Feather,2,Aline da Silva Pessoa Xavier,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Female,Black,Heavy,1,Carina Curvelo Santi,G13 BJJ,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Female,Black,Open Class,1,Carina Curvelo Santi,G13 BJJ,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
Adult,Female,Black,Open Class,2,Aline da Silva Pessoa Xavier,GF Team,2018,Campeonato Brasileiro de Jiu-Jitsu Sem Kimono 
