Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Thalison Vitorino Soares,Cicero Costha Internacional,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Welerson Gonçalves da Silva,Nova União,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Francisco Jonas Borges Andrade,Cicero Costha Internacional,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Yuri Hendrex Assunção Soares,PSLPB Cicero Costha,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Hiago George Santos Silva,Cicero Costha Internacional,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Paulo H. Bordignon Miyao,Cicero Costha Internacional,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Huthayfah Penney,Carlson Gracie Team,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Igor V. Terreco,Grand Union Jiu-Jitsu,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Raimundo Diego Pinto Sodre,Nova União,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Isaac Doederlein,Alliance,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Sam Mc Nally,ECJJA,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Wilhiam Mateus Marques da Silva,ZR Team Association,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Espen  Mathiesen,KMR BJJ KIMURA,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Marcelo Fausto de Abreu Montanagna,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Igor Nascimento da Costa Feliz,R1NG BJJ,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Marcio Andre da Costa Barbosa Junior,Nova União,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Tainan Dalpra Costa,Art of Jiu Jitsu,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Tommy Lilleskog Langaker,KMR BJJ KIMURA,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Fabio Pititto,Budo Clan,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Tarik Hopstock,Frontline Academy,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,Bruno Filipe Santos Lima,Alexandre Machado Association - AMA Jiu-Jitsu Team,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Szilard Sule,ZR Team Association,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Matheus Spirandeli Souza,Alliance,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Sean Coates,Gracie Barra,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,1,Adam Wardzinski,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,2,Dominique L. Bell,Atos Jiu-Jitsu,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Jakub Zajkowski,Gracie Barra,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Mebtouche Reda,Carpe Diem,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,1,Fellipe Andrew Leandro Silva,Alliance,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,2,Vinicius Ferreira Gazola,Alliance,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Eric Jasper Bergmann,Gracie Barra,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Ezequiel Esteves Nogueira,PS Phoenix BJJ International,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,1,Rafael Lovato Jr.,Six Blades Jiu-Jitsu,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,2,Guilherme Bacha Guedes,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Felipe Figueiredo Mauricio,Icon Jiu-Jitsu Team,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Yatan Martins Bueno,Dream Art,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,1,Fellipe Andrew Leandro Silva,Alliance,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,2,Yatan Martins Bueno,Dream Art,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Adam Wardzinski,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Matheus Felipe da Silva Xavier,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,1,Thaís Loureiro Felipe,Atos Jiu-Jitsu,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,2,Kaori Asela Hernandez,Unique Logic Jiu-Jitsu HQ,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,1,Mayssa Caldas Pereira Bastos,Unity Jiu-jitsu,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,2,Rose-Marie el Sharouni,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Maria Eduarda  Tozoni Ono,Kronos BJJ,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Naiomi Anaiansi Matthews Martín,Team Ganbaru,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,1,Ana Cristina Araujo Rodrigues,Dream Art,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,2,Gabriela A. Pereira,Qatar BJJ / Vision Brasil,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Ashley Louise Bendle,Gracie Barra,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Zofia Szawernowska,Brasa Poland,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,1,Nathalie Wan Soares Veras Ribeiro,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,2,Janaina Maia de Menezes,Gracie Humaita,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Amandine Cathy Nadege Layec,Gracie Humaita International,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Margot Ciccarelli,Unity Jiu-Jitsu International,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,1,Thalyta Stefhane Lima Silva,Qatar BJJ / Vision Brasil,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,2,Erin Johnson,Iron Roots BJJ,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,3,Luciane dos Santos Silva,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,1,Maggie Grindatti,Fight Sports,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,2,Magdalena Zofia Loska,Brasa Poland,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Raiane Mara dos Santos,Gracie Barra,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Rita Tana,Waza,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,2,Claire-France Thevenon,Panda Supa Crew,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,2,Thalyta Stefhane Lima Silva,Qatar BJJ / Vision Brasil,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Ana Cristina Araujo Rodrigues,Dream Art,2022,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Nathalie Wan Soares Veras Ribeiro,CheckMat,2022,European IBJJF Jiu-Jitsu Championship 
