Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Light-Feather,1,Paulo Fernando Ferreira Melo,Gracie Barra,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,2,Baruc Martin Barrios,Icon Jiu-Jitsu Team,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,1,Simone Franceschini,Cyclone,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,2,Tuomas Kristian Tammilehto,Brasa,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,3,Cristofer Martin Barrios,Icon Jiu-Jitsu Team,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,3,David Dimopoulos Said,Alliance,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,1,AJ Agazarm,Gracie Barra,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,2,Paulo Henrique Alves da Silva,Zenith BJJ,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,3,Hans Anders Mikael Xu,Hilti BJJ Stockholm,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,3,Ralf Gosta Carneborn,Dynamix Fighting Sports,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,1,Luca Anacoreta,Aeterna Jiu Jitsu,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,2,Pedro Henrique Weiss Bessa,99 Nine Nine JJ - International,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,3,Nic Ruben Nikolaisen,Frontline Academy,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,1,Eduardo Rios,Frontline Academy,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,2,Maximiliano de Figueiredo Carvalho,Gracie Barra,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,3,Filipe Meirelles Bobrick,Alliance,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,3,Maksymilian Wisniewski,Zenith BJJ International,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Heavy,1,Ricardo Ramos de Mesquita,Alliance,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Heavy,2,Samuel Monin,Gracie Barra,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Heavy,3,Cleiton Novas Pinheiro,Fight Club,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,1,Radoslaw Turek,Alliance,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,2,Rodrigo Ferreira Reis,Tanque Jiu-Jitsu,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,3,Henrique João Alves Pereira,Brazilian Power Team,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,3,Michal Bittner,Clube de Jiu-Jitsu Pitbull Czech Republic,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,1,Mauricio Henrique Cristo Lima,PSLPB Cicero Costha,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,2,Bruno Matias Soares,CheckMat,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,3,Raphael da Costa Goulart,Brazilian Top Team,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,3,Vedran Ikic,CheckMat,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,1,AJ Agazarm,Gracie Barra,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,2,Mauricio Henrique Cristo Lima,PSLPB Cicero Costha,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,3,Luca Anacoreta,Aeterna Jiu Jitsu,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,3,Vedran Ikic,CheckMat,2014,European IBJJF Jiu-Jitsu No-Gi Championship 
