Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,1,Maxmiliano Oliveira Campos,CheckMat
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,1,Theodoro Gabriel Canal Almeida,GF Team
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,1,Michael Alexandre Langhi,Alliance SP
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,1,Eduardo Rios,Frontline Academy
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,1,Dimitrius Soares Souza,Alliance SP
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Super-Heavy,1,Bernardo Augusto Rocha de Faria,Alliance
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Ultra-Heavy,1,Thiago Jorge Borges,Cia Paulista - International
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Open Class,1,Bernardo Augusto Rocha de Faria,Alliance
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,2,Gabriel Marangoni de Oliveira,CheckMat
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,2,Andrew Paul Roberts,Andy Roberts BJJ
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,2,Matheus Carmona Pequeno de Barros,Akxe BJJ
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,2,Lucio Sergio dos Santos,Gracie Barra
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,2,Renato Tavares de Moraes,Frontline Academy
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Ultra-Heavy,2,Igor Silva,GF Team
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Open Class,2,Dimitrius Soares Souza,Alliance SP
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,3,Cristofer Martin Barrios,Icon Jiu-Jitsu Team
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,3,Simone Franceschini,Cyclone
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,3,Maciej Grzegorz Polok,Gracie Barra
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,3,Nic Ruben Nikolaisen,Frontline Academy
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,3,Oliver Leys Geddes,Roger Gracie Academy
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,3,Clark Rouson Gracie,Clark Gracie Team
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,3,Maximiliano de Figueiredo Carvalho,Gracie Barra
European IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,3,Alfredo Merelo Aguilera,Brasa
