Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Light Feather,1,Pablo Santos,Gracie Barra BH,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Edvaldo Mota,Gracie Barra Italia,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Pablo Teixeira,Brazilian Fight,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Rodrigo Pereira,Integração JJ Portugal,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Mario Reis,Gracie Barra Culver City,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Wellington Dias,Gracie Humaita,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Takumi Nakayama,Paraestra Osaka,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Joao Catisti,Atos,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Michael Langui,Alliance,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Daisuke Sugie,ALIVE,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Thibaut Olivier,Gokudo,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Carlos Eduardo Ferreira,Gracie Barra Hamburg,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Kron Gracie,Gracie Humaita,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Yan Cabral,Aranha Toulouse,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Pedro Bessa,Nine Nine,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,David Vieira da Silva,Gracie Barra,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Alan do Nascimento,Check Mat Bjj,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Otavio Sousa,Gracie Barra,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Maximiliano Carvalho,Gracie Barra Hungria,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Felipe Mota,Akxe BJJ,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Braulio Estima,Gracie Barra,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Alexandre de Souza,Gracie Florianopolis,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Flavio Almeida,Gracie Barra,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Eduardo Telles,Nine Nine,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Rodrigo Cavaca,Check Mat Bjj,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Lucio Rodrigues,Gracie Barra,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Hakim Gouram,BJJ.BE,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Helvecio Penna Neto,De La Riva,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Marcio Cruz,Gordo JJ,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Victor Costa,Check Mat Bjj,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Jose Mario Rangel,Gracie Florianopolis,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Henrique Marcos,Nova Uniao,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Braulio Estima,Gracie Barra,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Alexandre Souza,Gracie Florianopolis,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Eduardo Telles,Nine Nine,2009,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Alan do Nascimento,Check Mat Bjj,2009,European Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Feather,1,Virigina Macedo,Brazilian Power,2009,European Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Middle,1,Monica Silva,Sandro Bala e Julio Pudim,2009,European Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Open Class,1,Monica Silva,Sandro Bala e Julio Pudim,2009,European Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Open Class,2,Virigina Macedo,Brazilian Power,2009,European Jiu-Jitsu IBJJF Championship
