Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Light Feather,1,Wellington Dias,Gracie Humaita
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Feather,1,Carlos Lemos Jr,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Light,1,Carlos Eduardo Vieira,Cia Paulista
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Middle,1,Joao Felipe Oliveira,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Medium Heavy,1,Reinaldo Ramos,Kimura Portugal
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Ultra Heavy,1,Lucio Rodrigues,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Open Class,1,Lucio Rodrigues,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Feather,2,Anderson Pereira,Gracie Geneve
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Light,2,Sergio Vita,Sandro Bala/Sergio Vita
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Middle,2,Vitor Nobrega do Nascimento,Laerte Barcelos
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Ultra Heavy,2,Carlos Santos,Brazilian Top Team
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Open Class,2,Joao Felipe,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Feather,3,Thelmo Calmon,Gracie Barra BH
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Light,3,Hugo Leandro Rosa,Educacional Araxa
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Light,3,Lauro Figueroa,Gracie Barra Portugal
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Middle,3,Hugo Leonardo Velasco,Educacional Araxa
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Open Class,3,Wellington Dias,Gracie Humaita
European Jiu-Jitsu IBJJF Championship,2004,Adult,Black,Male,Open Class,3,Reinaldo Ramos,Kimura Portugal
European Jiu-Jitsu IBJJF Championship,2004,Adult,Purple Brown Black,Female,Light,1,Mariana Coelho,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2004,Adult,Purple Brown Black,Female,Middle,1,Carolina Prado,Gracie Barra Portugal
European Jiu-Jitsu IBJJF Championship,2004,Adult,Purple Brown Black,Female,Light,2,Ana Paula Reis Teixeira,Anibal
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Feather,1,Augusto Silva,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Light Feather,1,Wellington Dias,Gracie Humaita
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Light,1,Renato Migliaccio,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Middle,1,Fabricio Camoes,Gracie Barcelona
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Medium Heavy,1,Ronaldo Souza,Brasa
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Heavy,1,Lucio Rodrigues,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Super Heavy,1,Roberto De Abreu,Nova Geração
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Ultra Heavy,1,Roger Gracie,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Open Class,1,Roger Gracie,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Light,2,Mauro Chueng,Rio Grappling Club
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Middle,2,Fabricio Nascimento,Kimura Nova Uniao
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Medium Heavy,2,Vitor Nobrega,Osvaldo Alves
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Heavy,2,Fernando Di Piero,Alliance
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Super Heavy,2,Leonardo Ramos,Gracie Curitiba
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Open Class,2,Ronaldo Souza,Brasa
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Light,3,Sergio Vita,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Middle,3,David Giorsetti,Gracie Barra Côte D’Azur
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Open Class,3,Fernando Di Piero,Alliance
European Jiu-Jitsu IBJJF Championship,2005,Adult,Black,Male,Open Class,3,Lucio Rodrigues,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2005,Adult,Purple Brown Black,Female,Feather,1,Leticia Ribeiro,Gracie Barcelona
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Light Feather,1,Augustin Climent,Sukata Alicante
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Feather,1,Wellington Dias,Gracie Humaita
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Light,1,Christian Uflacker,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Middle,1,Leonardo Peçanha,Nova Uniao
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Medium Heavy,1,Eduardo Rios,Brazilian Top Team
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Heavy,1,Alessandro Nunes,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Ultra Heavy,1,Vitor Costa,Brasa
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Open Class,1,Mario Reis,MW Spain
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Light Feather,2,Bruno Cezar Moreno,Kimura
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Feather,2,Pedro Silveira,Pejor
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Light,2,Claudio de Matos,Gracie Barra BH
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Middle,2,Felipe Souza,Roger Gracie Academy
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Medium Heavy,2,Filipe Oliveira,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Heavy,2,Dinarte Lima Jr,Kimura
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Ultra Heavy,2,Pedro Galliza,Brazilian Top Team
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Open Class,2,Victor Costa,Brasa
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Light,3,Carlos Eduardo Vieira,Cia Paulista
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Light,3,Rafael dos Anjos,Gracie Barra
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Middle,3,Fabricio Nascimento,Fabricio Nascimento
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Middle,3,Marcelo Bernardo,Brazilian Power
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Medium Heavy,3,Renato Tavares,Brazilian Top Team
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Medium Heavy,3,Gilles Arsene,Carlson Gracie Team
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Heavy,3,Gilberto Bastos Jr,Franco Penteado
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Heavy,3,Luis Roberto Pereira,Yamasaki Academy
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Ultra Heavy,3,Jose Mario Rangel,Carioca BJJ
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Open Class,3,Leonardo Peçanha,Nova Uniao Campos
European Jiu-Jitsu IBJJF Championship,2006,Adult,Black,Male,Open Class,3,Felipe Souza,Roger Gracie Academy
European Jiu-Jitsu IBJJF Championship,2006,Adult,Purple Brown Black,Female,Light,1,Carmen Jahnke,Gracie Barra Lisboa
European Jiu-Jitsu IBJJF Championship,2006,Adult,Purple Brown Black,Female,Middle,1,Camilla Gjelsten,Frontline
European Jiu-Jitsu IBJJF Championship,2006,Adult,Purple Brown Black,Female,Middle,2,Monica Vanessa,Sandro Bala Team
European Jiu-Jitsu IBJJF Championship,2006,Adult,Purple Brown Black,Female,Middle,3,Devi Ahuja,Frontline
European Jiu-Jitsu IBJJF Championship,2006,Adult,Purple Brown Black,Female,Middle,3,Sara Fonseca,Brazilian Power
European Jiu-Jitsu IBJJF Championship,2007,Adult,Black,Male,Light Feather,1,Anderson Pereira,Brazilian Top Team
European Jiu-Jitsu IBJJF Championship,2007,Adult,Black,Male,Feather,1,Reinaldo Ribeiro,Brasa
European Jiu-Jitsu IBJJF Championship,2007,Adult,Black,Male,Light,1,Philipe Della Monica,Gracie Barra Caveirinha
European Jiu-Jitsu IBJJF Championship,2007,Adult,Black,Male,Middle,1,Alan Nascimento,Brasa
European Jiu-Jitsu IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,1,Raphael Abi-Rihan,Carlson Gracie Team
European Jiu-Jitsu IBJJF Championship,2007,Adult,Black,Male,Heavy,1,Braulio Estima,Gracie Barra
