Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,João Pedro Oliveira Rodrigues,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Milton Carlos Bastos P. do Nascimento,Brasa CTA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Ivaniel Cavalcante de Oliveira,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Koji Shibamoto,Tri-Force Jiu-Jitsu Academy,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Paulo H. Bordignon Miyao,PSLPB Cicero Costha,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,João Ricardo Bordignon Miyao,PSLPB Cicero Costha,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Rafael Freitas,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Vitor Peres Paschoal,Brasa CTA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Mario Sergio Names Reis,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Gianni Paul Grippo,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Osvaldo Augusto Honorio Moizinho,Brasa CTA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Samir José Chantre Dahás,Brasa CTA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Lucas Alves Lepri,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Michael Alexandre Langhi,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Jonathan Torres,Atos Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Philipe Cançado Della Monica,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Otavio Ferreira de Sousa,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Lucas Rocha de Freitas,Gracie Barra JJ,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Victor de Oliveira Estima,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,Gustavo Ramos Campos,Atos Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Keenan Kai-James Cornelius,Atos Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Renato Guimaraes Cardoso,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Rodrigo Fajardo,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,1,Yuri Costa Simões M. da Silva,Brasa CTA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,2,Lucas Joas Gomes Leite,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Rafael Lovato Jr.,Ribeiro Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Roberto Camargo de Alencar,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,1,Luiz Fernando de Azevedo Panza,BARBOSA JIU-JITSU USA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,2,Bernardo Augusto Rocha de Faria,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,André Alberto W. Campos,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Paulo Tarcisio Pessoa Jardim,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,1,Andre Luiz Leite Galvão,Atos Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,2,Alexander Riis Hilligsoe Trans,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Abraham J. Marte Messina,Yamasaki Academy International,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Leonardo Henrique D'avila Corrêa,Atos Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,1,Andre Luiz Leite Galvão,Atos Jiu-Jitsu,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,2,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Alexander Riis Hilligsoe Trans,CheckMat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Felipe Carsalade Araujo Pena,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,1,Andrea Emmel Encarnacion,T3MA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,2,Nyjah Michea Easton,Team Lloyd Irvin,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Kanako Inaba,AOA Champion BJJ,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,1,Tammi Alana Musumeci,American Top Team,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,2,Mackenzie Lynne Dern,Gracie Humaita,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Cristina Maria Zakka Brandão,MXT Academy BJJ,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Laurence Cousin Fouillat,Acemat,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,2,Fabiana Alves Borges,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Jena Rae Bishop,Gracie Humaita USA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,1,Luiza Monteiro Moura da Costa,PSLPB Cicero Costha,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,2,Megan Ann Nevill,Gracie Elite Team,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,3,Penny Thomas,Gracie Humaita USA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,1,Talita Andrea Nogueira,Gracie Elite Team,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,2,Carolyn Stephenson,Gracie Elite Team,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Erika Carrarine Correia,De La Riva / BA,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Rachel Leigh Demara,Big Brothers,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,1,Tammy M Griego,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,2,Andresa Correa,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,2,Andresa Correa,Alliance,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Mackenzie Lynne Dern,Gracie Humaita,2014,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Rachel Leigh Demara,Big Brothers,2014,Pan IBJJF Jiu-Jitsu Championship 
