Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Light-Feather,1,João Ricardo Bordignon Miyao,PSLPB Cicero Costha,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light-Feather,2,Mark Daniel Ramos,"Ricardo ""Rey"" Diogo BJJ",2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light-Feather,3,Jorge Elias Bucaram Santistevan,Alliance,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light-Feather,3,Vitor Peres Paschoal,Caio Terra Association,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Feather,1,Osvaldo Augusto Honorio Moizinho,Caio Terra Association,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Feather,2,Samir José Chantre Dahás,Caio Terra Association,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Feather,3,Gianni Paul Grippo,Alliance Marcelo Garcia,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Feather,3,Joseph Wallace Taliercio,Renzo Gracie,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light,1,Rodrigo Lamounier de Freitas,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light,2,Garry Lee Tonon,Renzo Gracie,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light,3,AJ Agazarm,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Light,3,Renan Borges,New England United BJJ,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Middle,1,Vitor Henrique Silva Oliveira,GF Team,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Middle,2,Enrico Daniel Cocco,Fight Sports,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Middle,3,Francisco Antonio Iturralde Lara,Alliance,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Middle,3,Leonardo I. Iturralde Aguirre,Alliance Ecuador,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Medium-Heavy,1,Claudio de Mattos Cardoso,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Medium-Heavy,2,Brian J Beaury II,Abusado Team,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Medium-Heavy,3,Romulo de Souza Azevedo,Welton Ribeiro,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Medium-Heavy,3,Vinicius Agudo Silva,Team Link,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Heavy,1,Mauro Celso Santiago,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Heavy,2,Lucas Rocha de Freitas,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Heavy,3,Gabriel Toribio,Renzo Gracie,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Heavy,3,Jackson Sousa dos Santos,CheckMat,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Super-Heavy,1,Tiago Ribeiro do Valle Giussani,Fabricio International Team - FIT,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Super-Heavy,2,Nelson Horacio Puentes Zuniga,Team Fabio Clemente,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Super-Heavy,3,Nicholas A Liaskos,RABJJ Academy,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Ultra-Heavy,1,Gabriel Lyrio Lucas,CheckMat,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Ultra-Heavy,2,Abraham J. Marte Messina,Yamasaki Academy,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Ultra-Heavy,3,Bruno Bastos Cruz,Bruno Bastos Association,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Open Class,1,Jackson Sousa dos Santos,CheckMat,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Open Class,2,AJ Agazarm,Gracie Barra,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Open Class,3,Abraham J. Marte Messina,Yamasaki Academy,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Male,Black,Open Class,3,Gianni Paul Grippo,Alliance Marcelo Garcia,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
Adult,Female,Black,Feather,1,Bibiana Dios Tan Pacini S. Silva,B&V Gravity MMA,2014,Pan IBJJF Jiu-Jitsu No-GI Championship 
