Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Willis da Mota Nunes,CheckMat,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Rooster,2,Washington Luis do M. Lima,GF Team,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Rooster,3,David B. Zennario,Masterskya,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,1,Lucas dos Santos Pinheiro,Atos Jiu-Jitsu,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,2,Matheus Viana Magalhães,GF Team,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,3,Dennis A Pressey Jr,Atos Jiu-Jitsu,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,3,Hiago Gama Sousa,Alliance,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,1,Kennedy Leonardo Maciel,Alliance,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,2,João Gabriel Batista de Sousa,ZR Team Association,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,3,Gianni Paul Grippo,Alliance,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,3,Orlando Fernando Castillo Andaviza,Fight Sports,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,1,Alexandre Faria Molinaro,Carlson Gracie Team,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,2,Rodrigo Francioni Dias,Fight Sports,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,3,Francisco Cuneo,Lotus Club International,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,3,Joshua Aaron Bacallao,Gracie Barra,2020,Pan IBJJF Jiu-Jitsu No-Gi Championship 
