Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Light Feather,1,Ricardo Vieira,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Wellington Dias,Gracie Humaita,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Leonardo Xavier,SR JJ,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Dai Yiochioka,Paraestra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Leonardo Vieira,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Fredson Alves,SR JJ,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Sandro Santiago,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Gustavo Machado,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Carlos Eduardo de Souza,Cia Paulista,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Daniel Correa,Gracie Iate,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Albert Crane,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Edson Diniz,Infight,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Delson Heleno,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Eduardo Santoro,Equilibrio,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Paulo Guilhobel,Machado JJ,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Fernando Augusto,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Alexandre Ribeiro,SR JJ,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Eduardo Concei�ao,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Nilton Marques,Asian Arts,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Anderson Gon�alves,Anderson G,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Fabio Leopoldo,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Gustavo Mugliati,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Eduardo Telles,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Carlos Eduardo Carone,Yamasaki,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Alexandre Dantas,Gracia Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Rodrigo Medeiros,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Roberto Tozi,Godoi JJ Club,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Roberto Godoi,Godoi JJ Club,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Marcio Ribeiro,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Alex Paz,Silveira Brothers,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Garth Taylor,Claudio Franca,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Carlos Santos,Silveira Brothers,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Fabio Leopoldo,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Marcio Ribeiro,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Eduardo Telles,Alliance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Alexandre Ribeiro,SR JJ,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,1,Alessandra Filha,Machado Torrance,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,2,Sicrun Schoen,Machado JJ,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,3,DC Maxwell,Maxercise,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,3,Ghazalieh Parman,Tarout,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Middle,1,Kris Schade,Machado,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Middle,2,Cristiana da Cruz,Andrade,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Heavy,1,Luciana Dias,Gracie Humaita,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Heavy,2,Erica Paes,Gracie Barra,2002,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Heavy,3,Maria do Carmo,Gracie Humaita,2002,Pan Jiu-Jitsu IBJJF Championship
