Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Rooster,1,Marcos Barreto,Monir
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light Feather,1,Vinicius Magalhaes,Barra Gracie
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Feather,1,Joao Roque,Lewis-Nova Uniao
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light,1,Marcio Feitosa,Barra Gracie
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Middle,1,Alexandre Paiva,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Medium Heavy,1,Roberto Magalhaes,Barra Gracie
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Heavy,1,Luis Roberto Duarte,Carlson RJ
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Super Heavy,1,Roberto Correa,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Ultra Heavy,1,Eduardo Galvão,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Open Class,1,Regan Machado,Machado Redondo
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Rooster,2,Marcelo Andrade,Carlson RJ
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light Feather,2,Alberto dos Santos,Carlson RJ
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Feather,2,Marco Aurelio,Lewis- Nova Uniao
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light,2,Renato Barreto,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Middle,2,Eduardo Conceicao,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Medium Heavy,2,Saulo Ribeiro,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Heavy,2,Fernando Silva,Liga de Cabo Frio
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Super Heavy,2,Marcelo Mathias,Equipe Paulista
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Ultra Heavy,2,Pedro Santos,Lewis-Nova Uniao
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Open Class,2,Roberto Correa,Barra Gracie
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Feather,3,Alexandre Carneiro,Barra Gracie
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light,3,Cleber Luciano,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Middle,3,Anderson Patrido,Araxa
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Medium Heavy,3,Saulo Ribeiro,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Super Heavy,3,Guilherma Santos,Lewis- Nova Uniao
Pan Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Open Class,3,Eduardo Conceicao,Rickson-Royler
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,1,Royler Gracie,Rickson E Royler
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light,1,Marcio Feitosa,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,1,Fernando Vasconcelos,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Medium Heavy,1,Roberto Magalhaes,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Heavy,1,Ricardo Herriot,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Super Heavy,1,Roberto Correa,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Ultra Heavy,1,Rygan Machado,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Open Class,1,Rygan Machado,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,2,Marco Aurelio,Lewis Pederneiras
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,2,Luis Felpe,Master Atlanta
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Heavy,2,Roberto Godoi,Godoi Macaco
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Open Class,2,Roberto Magalhaes,Gracie Barra
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,3,Eduardo Leitao,Equilibrio
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,3,Cleiton Souza,Bustamante
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,3,Guilherme Santos,Lewis Pederneiras
Pan Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,3,Nilson Liboni,Liboni
