Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Marcelo Cohen,The Armory,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Rooster,2,Alexis Alduncin Barragan,Renzo Gracie Mexico,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Rooster,3,Christopher Michael Noonan,The Hive Martial Arts Academy,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light-Feather,1,João Ricardo Bordignon Miyao,PSLPB Cicero Costha,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,1,Ian Phyllip Sanders,Rodrigo Freitas Brazilian Jiu-Jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,2,Sergio Calderon Gonzalez,Association Aranha,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,3,Alberto Serrano Govea,Renzo Gracie Mexico,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,3,Mayko de Araujo Girotto Borges,CheckMat,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,1,Gianni Paul Grippo,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,2,Rodrigo Lamounier de Freitas,Rodrigo Freitas Brazilian Jiu-Jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,3,João Paulo de Fatima Alves Ferreira,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,3,Vinícius Soares Vieira,Kioto Brazilian Jiu-Jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,1,Jonathan T. Satava,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,2,Felipe Cesar Silva,Barbosa Jiu-Jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,3,Marcos Vinícius da Silva Tinoco,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,3,Sean Patrick Fisher,Precision Jiu-Jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,1,Dillon Danis,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,2,Murilo Silva Ferreira de Santana,BARBOSA JIU-JITSU USA,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,3,Gottrell W King Jr.,Gracie Barra,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,3,Samir Abdolkader,David Jacobs Jiu-Jitsu Team,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,1,Todd Brandon Mueckenheim,Soca BJJ,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,2,Romulo de Souza Azevedo,Welton Ribeiro,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,3,Carlos Robson Gracie Filho,Renzo Gracie,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,3,Lucas Rocha de Freitas,ZR Team California,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Super-Heavy,1,Cássio Francis da Silva,Gracie Barra,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Super-Heavy,2,Fernando Andrade dos Reis,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Ultra-Heavy,1,Aaron Michael Johnson,Unity Jiu-jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Ultra-Heavy,2,Leonardo Henrique D'avila Corrêa,Atos Jiu-Jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Open Class,1,Jonathan T. Satava,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Open Class,2,Dillon Danis,Alliance,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Open Class,3,Aaron Michael Johnson,Unity Jiu-jitsu,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Open Class,3,Cássio Francis da Silva,Gracie Barra,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Light,1,Karen Deisy Antunes Girotto Borges,CheckMat,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Middle,1,Carina Paganini Damm,American Top Team,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Medium-Heavy,1,Ida Fløisvik,OXY,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Super-Heavy,1,Alison Victoria Tremblay,Brazilian Top Team,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,1,Karen Deisy Antunes Girotto Borges,CheckMat,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,2,Alison Victoria Tremblay,Brazilian Top Team,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,3,Carina Paganini Damm,American Top Team,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,3,Ida Fløisvik,OXY,2016,Pan Jiu-Jitsu No-Gi IBJJF Championship 
