Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Light Feather,1,brandon mullins,Westside MMA,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,2,josef gonzalez,robson moura,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,3,luis pantoja,Yamasaki Academy,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,3,joseph capizzi,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,1,rodrigo faria,Check Mat Bjj,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,2,daniel aguiar,Arena,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,3,salvatore sanguinetti,Yamasaki Academy,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,1,lucas lepri,Alliance,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,2,jonathan torres,Lloyd Irvin M.A Academy,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,3,leonardo leite,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,3,keith florian,florian martial arts,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,1,daniel moraes,Relson Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,2,mike jaramillo,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,3,edson diniz,American Top Team,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,3,bruno tostes,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,1,gunnar nelson,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,2,leonardo ferreira,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,3,jay valko,valko bjj,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,3,ailton barbosa,American Top Team,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Heavy,1,igor gracie,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Heavy,2,rafael franca,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Heavy,3,luiz gustavo costa,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Super Heavy,1,andre gusmao,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Super Heavy,2,marco delima,Delima,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,rolles gracie3,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Open Class,1,rafael franca,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Open Class,2,gunnar nelson,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Open Class,3,luis gustavo,Renzo Gracie,2009,Pan Jiu-Jitsu No-Gi IBJJF Championship
