Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light Feather,1,Alex Taveira,Carioca Brazilian Jj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,1,Marcio Feitosa,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,1,Saulo Ribeiro,Saulo Ribeiro
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,1,Flavio Almeida,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,1,Rodrigo Medeiros,Brasa
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light Feather,2,Rogerio Taborda,Tatu Jj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,2,Lucas Gomes,Brasa
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,2,Romulo Barral,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,2,Cristiano Lazarini,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,2,Rodrigo Cavaca,Brasa
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,3,Theodoro Canal,Ugf
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,3,Joao Cunha,Clube De Jj Pitbull
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,3,Edson Diniz,American Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,3,Marcel Louzado,Brasa
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,3,Eduardo Telles,99 Valente
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,3,Rafael Lovato,Saulo Ribeiro
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,3,Jose Eduardo Correa,Barbosa Jj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,3,Bruno Rodrigues Paulista,Gracie Florianopolis
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Brown Black,Female,Light,1,Felicia Oh,Machado Jj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Brown Black,Female,Light,2,Kanako Inaba,Champion Jj
