Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Bruno da Silva Malfacine,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Caio Terra,Gracie Elite Team,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Felipe Pinto da Costa e Silva,Brasa Warrior International,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Rafael Freitas,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Guilherme Mendes,Atos Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Laercio Fernandes,Lótus Club,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Ary de Melo Farias,Atos Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Pablo da Silva Santos,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Rafael Mendes,Atos Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Rubens Charles Maciel,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Leonardo Fernandes Saggioro,Brazilian Top Team,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Mario Sergio Names Reis,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Lucas Alves Lepri,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Roberto Satoshi de Souza,Bon-Sai Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Thiago Aragão de Abreu,CheckMat,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Otavio Ferreira de Sousa,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Claudio Calasans Camargo Júnior,Atos Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Lucas Joas Gomes Leite,CheckMat,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Victor de Oliveira Estima,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,Rômulo Claudio Barral,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Diogo Sampaio Araujo,Soul Fighters BJJ Barra da Tijuca,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Rafael Lovato Jr.,Ribeiro Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Rodrigo Pinheiro Breves,Gracie Humaita,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,1,Rodolfo Vieira Srour,GF Team,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,2,Alexandre Couceiro Ribeiro,Ribeiro Jiu-Jitsu,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Alexandro Ceconi de Souza,Ceconi Team,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Roberto Camargo de Alencar,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,1,Leonardo Pires Nogueira,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,2,Bernardo Augusto Rocha de Faria,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,André Alberto W. Campos,Gracie Barra,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Felipe Menezes Bueno,Alliance International,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,1,Marcus Vinícius Oliveira de Almeida,CheckMat,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,2,Leonardo Gergis F. Leite,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Alexander Riis Hilligsoe Trans,CheckMat,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Márcio Ribeiro da Cruz,Gracie Elite Team,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,1,Marcus Vinícius Oliveira de Almeida,CheckMat,2012,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,2,Leonardo Pires Nogueira,Alliance,2012,World IBJJF Jiu-Jitsu Championship 
