Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Thalison Vitorino Soares,Cicero Costha Internacional,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Rooster,2,Rodnei Barbosa Gabriel Jr.,Qatar BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Rooster,3,Marko Tapani Oikarainen,Hilti BJJ Turku,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Rooster,3,Nobuhiro Sawada,Tri-Force Jiu-Jitsu Academy,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,1,Hiago George Santos Silva,Cicero Costha Internacional,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,2,João Ricardo Bordignon Miyao,Cicero Costha Internacional,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,3,Anthony Guy De Oliveira,Werdum Combat Team France,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light-Feather,3,Edwin Ocasio,Unity Jiu-jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,1,Alexssandro Pinto Sodré,Nova União,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,2,João Gabriel Batista de Sousa,ZR Team Association,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,3,Cole Thomas Franson,R1NG BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Feather,3,Gabriel Marangoni de Oliveira,Brasa CTA,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,1,Johnny Tama,Alliance International,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,2,Ygor dos Santos Rodrigues,CT MR,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,3,Athos Ribeiro de Miranda,Alliance,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Light,3,Fabio Murat Caloi,Alliance,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,1,Dante Scott Leon,GF Team,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,2,Jaime Soares Canuto,GF Team,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,3,Felipe Cesar Silva,Unity Jiu-jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Middle,3,Jeferson Guaresi,Unity Jiu-jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,1,Manuel Ribamar V. de Oliveira Filho,Rodrigo Pinheiro BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,2,Gabriel Salles Muniz Almeida,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,3,Jose Mathias Macedo de Lira Luna,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Medium-Heavy,3,Rafael Lopes Paganini,Alliance,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Heavy,1,Adam Wardzinski,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Heavy,2,Jackson Sousa dos Santos,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Heavy,3,Fellipe Ubaiz Trovo,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,1,Vinicius Ferreira Gazola,Alliance,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,2,Eliot Andrew Kelly,Yemaso Brazilian Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,3,Frederic Vosgröne,Carlson Gracie Team,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Super-Heavy,3,Marcelo Gomide Oliveira,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,1,Roberto de Abreu Filho,Fight Sports,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,2,James Richard Puopolo,Ribeiro Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,3,Fernando Camôles Ribas,Demian Maia Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Ultra-Heavy,3,Victor Hugo Costa Marques,Ribeiro Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,1,Victor Hugo Costa Marques,Ribeiro Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,2,Roberto de Abreu Filho,Fight Sports,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Male,Black,Open Class,3,Marcelo Gomide Oliveira,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Rooster,1,Mayssa Caldas Pereira Bastos,GF Team,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Rooster,2,Amber Rymarz-Freitas,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light-Feather,1,Amanda Monteiro Canuto,GF Team,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light-Feather,2,Patrícia Magalhães Machado,Brazilian Top Team,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light-Feather,3,Fiona M. Watson,Notorious Mixed Martial Arts,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Feather,1,Ana Talita de Oliveira Alencar,Alliance,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Feather,2,Heather H. Raftery,Atos Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Feather,3,Gabriela Meireles Fechter,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Feather,3,Karen Deisy Antunes Girotto Borges,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light,1,Nathalie Wan Soares Veras Ribeiro,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light,2,Jena Rae Bishop,Alliance,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light,3,Hannah Sharp,Silver Fox BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Light,3,Nicole Sullivan,Atos Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Middle,1,Raquel Dayne Kaleialoha Paaluhi,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Middle,2,Jaqueline de Moraes Amorim Ramos,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Middle,3,Gabrielle McComb Lima,Gracie Humaita,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Middle,3,Hannah Katharina Rauch,Gracie Humaita,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Medium-Heavy,1,Vedha Clemente Toscano,CheckMat,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Medium-Heavy,2,Julia Boscher Seixas Pinto,Double Five,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Medium-Heavy,3,Andressa Mezari Cintra,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Medium-Heavy,3,Thamara Ferreira Silva,Cicero Costha Internacional,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Heavy,1,Talita Andrea Nogueira,Ns Brotherhood,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Heavy,2,Elizabeth Katherine Mitrovic,Cassio Werneck BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Heavy,3,Jessica Guedry,Soul Fighters BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Heavy,3,Veronica Macedo Fernandez,Mako Team Paris,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Super-Heavy,1,Kendall Marie Reusing,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Super-Heavy,2,Jessica da Silva Oliveira,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Super-Heavy,3,Tammy M Griego,Gracie Barra BJJ,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Open Class,1,Jessica da Silva Oliveira,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Open Class,2,Kendall Marie Reusing,Gracie Barra,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Open Class,3,Gabrielle McComb Lima,Gracie Humaita,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
Adult,Female,Black,Open Class,3,Heather H. Raftery,Atos Jiu-Jitsu,2019,World IBJJF Jiu-Jitsu No-Gi Championship 
