Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Bruno da Silva Malfacine,Alliance,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Rooster,2,Caio Terra,Brasa CTA,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Rooster,3,João Ricardo Bordignon Miyao,PSLPB Cicero Costha,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Rooster,3,José Tiago da Silva Barros,PSLPB Cicero Costha,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light-Feather,1,Ary de Melo Farias,Atos Jiu-Jitsu,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light-Feather,2,Isaac Doederlein,Alliance,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light-Feather,3,Hiago George Santos Silva,PSLPB Cicero Costha,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light-Feather,3,Takuto Kako,Grappling Shoot Boxers,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Feather,1,Rafael Mendes,Atos Jiu-Jitsu,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Feather,2,Marcio Andre da Costa Barbosa Junior,Nova União,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Feather,3,Osvaldo Augusto Honorio Moizinho,Ares BJJ,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Feather,3,Rubens Charles Maciel,Alliance,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light,1,Lucas Alves Lepri,Alliance,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light,2,Edwin Najmi,Gracie Barra,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light,3,Gabriel Rollo da Silva Pontes,CheckMat International,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Light,3,Jonathan Torres,Atos Jiu-Jitsu,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Middle,1,Otavio Ferreira de Sousa,Gracie Barra,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Middle,2,Gabriel Arges de Sousa,Gracie Barra JJ,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Middle,3,Marcos Vinícius da Silva Tinoco,Alliance Marcelo Garcia,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Middle,3,Yago Vinicius de Souza,Ns Brotherhood,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Medium-Heavy,1,Leandro Lo Pereira do Nascimento,Ns Brotherhood,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Medium-Heavy,2,Rômulo Claudio Barral,Gracie Barra,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Medium-Heavy,3,Keenan Kai-James Cornelius,Atos Jiu-Jitsu,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Medium-Heavy,3,Patrick Pontes Moura Santos Gaudio,GF Team,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Heavy,1,Andre Luiz Leite Galvão,Atos Jiu-Jitsu,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Heavy,2,Jackson Sousa dos Santos,CheckMat,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Heavy,3,Cássio Francis da Silva,Gracie Barra,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Heavy,3,Guilherme Augusto Soares Santos,Alliance,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Super-Heavy,1,Alexandro Ceconi de Souza,Ceconi Team,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Super-Heavy,2,Luiz Fernando de Azevedo Panza,CheckMat,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Super-Heavy,3,Igor Silva,GF Team International,2016,World Jiu-Jitsu IBJJF Championship 
Adult,Male,Black,Super-Heavy,3,Vitor Fabio Martins Toledo,Atos Jiu-Jitsu,2016,World Jiu-Jitsu IBJJF Championship 
