Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Felipe Costa,Master,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,2,Daniel Moreno,Tanque,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,3,Andre Soares,B Top Team,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,3,Eduardo Ramos,Fjjam,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Bibiano Fernandes,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Carlos Lemos,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Roberto Matsumoto,De La Riva,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Rafael Primo,De La Riva,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Mario Reis,Winner Behring,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Alexandre Carneiro,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Fredson Paixao,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Reinaldo Ribeiro,Castelo Branco,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Daniel Moraes,Gracie Humaita,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Marcio Feitosa,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Marcos Pacheco,Fjjam,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Bruno De Paula,Alliance,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Fernando Augusto,Master,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Marcelo Garcia,Alliance,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Eduardo Santoro,Equilibrio,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Marcelo Brito,Arena,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Cassio Werneck,B Top Team,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Marcel Louzada,Master,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Rodrigo Pinheiro,Gracie Humaita,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Fabio Nascimento,Equilibrio,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Jefferson Moura,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Roger Coelho,Macaco Gold Team,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Rodrigo Medeiros,Master,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Hugo Carione,Gracie Florianopolis,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Eric Wanderley,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Roberto Tozi,Godoi Jj Club,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Fabio Leopoldo,Gracie Sp,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Pedro Galiza,B Top Team,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Fabricio Werdum,Winner Behring,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Leonardo Leite,Alliance,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Adriano Camolesi,Godoi Jj Club,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Marcio Corleta,Winner Behring,2003,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Marcio Cruz,Gracie Barra,2003,World Jiu-Jitsu IBJJF Championship
