Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Rooster,1,Marcos Barreto,Ac. Monir
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light feather,1,Helio Moreira,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Feather,1,Royler Gracie,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light,1,Paulo Barroso,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Middle,1,Roberto Correa,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Medium Heavy,1,Roberto Magalhaes,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Heavy,1,Fabio Gurgel,Alliance
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Super Heavy,1,Ricardo Liborio,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Ultra Heavy,1,Jose Mario Sperry,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Open Class,1,Amauri Biteti,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Rooster,2,Nikos Bahlzetis,Sui a
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light feather,2,Wellington Dias,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Feather,2,Paulo Brandao,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Light,2,Renato Barreto,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Middle,2,Eduardo Conceicao,Alliance
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Medium Heavy,2,Luis Roberto Duarte,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Heavy,2,Murilo Bustamante,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Super Heavy,2,Leonardo Castello Branco,Alliance
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Ultra Heavy,2,Roberto Traven,Alliance
World Jiu-Jitsu IBJJF Championship,1996,Adult,Black,Male,Open Class,2,Ricardo Liborio,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Rooster,1,Robson Moura,Nova Uniao -A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light Feather,1,João Roque,Nova Uniao -A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,1,Royler Gracie,Gracie Humaita/Iate
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light,1,Marcio Feitosa,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,1,Saulo Ribeiro,Gracie Humaita/Iate
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Medium Heavy,1,Roberto Magalhaes,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Heavy,1,Fabio Gurgel,Alliance
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Super Heavy,1,Jose Mario Sperry,Protesto
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Ultra Heavy,1,Luiz Guilerme,Jorge Pereira
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Open Class,1,Amauri Biteti,Protesto
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Rooster,2,Marcio Galvao,Oriente
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light Feather,2,Ivanilson,Nova Uniao -A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,2,Vitor Ribeiro,Nova Uniao -A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light,2,Leonardo Vieira,Alliance
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,2,Antonio Shembri,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Medium Heavy,2,Roberto Correa,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Heavy,2,Daniel Simoes,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Super Heavy,2,Luiz Roberto,Protesto
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Ultra Heavy,2,Arthur Ignarra,Nova Uniao-A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Open Class,2,Fabio Gurgel,Alliance
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Rooster,3,Armando Conde,Equilibrio
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light Feather,3,Daniel Rego,Alliance
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,3,Marco Aurelio,Protesto
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Feather,3,Alexandre Carneiro,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light,3,Renato Barreto,Gracie Humaita/Iate
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Light,3,Renato Verissimo,Nova Uniao -A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,3,Rony Rustico,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Middle,3,Alexandre Paiva,Alliance
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Medium Heavy,3,Anderson Xavier,Alliance
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Medium Heavy,3,Roberto da Silva,Ws LeãoDourado
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Heavy,3,Ricardo Herriot,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Heavy,3,Roberto Godoi,Godoi Macaco
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Super Heavy,3,Paulo Teodoro,Equipe 3
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Super Heavy,3,Carlos Pedro,Nova Uniao -A
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Ultra Heavy,3,Eduardo Rocha,Gracie Humaita/Iate
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Ultra Heavy,3,Eduardo Rocha,Gracie Humaita/Iate
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Open Class,3,Royler Gracie,Gracie Humaita/Iate
World Jiu-Jitsu IBJJF Championship,1997,Adult,Black,Male,Open Class,3,Jose Mario Sperry,Protesto
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Rooster,1,MARCELO PEREIRA,NOVA UNIAO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Light Feather,1,ROBSON MOURA,NOVA UNIAO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Feather,1,ROYLER GRACIE,GRACIE HUMAITA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Light,1,LEONARDO VIEIRA,ALLIANCE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Middle,1,FERNANDO VASCONCELOS,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Medium Heavy,1,RAFAEL CORREA,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Heavy,1,SAULO RIBEIRO,GRACIE HUMAITA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Super Heavy,1,ROBERTO MAGALHÃES,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Ultra Heavy,1,ROBERTO TRAVEN,ALIANCE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Open Class,1,ZE MARIO,CARLSON GRACIE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Rooster,2,MARCIO GALVAO,NOVA UNIAO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Light Feather,2,FREDSON ALVES,GRACIE HUMAITA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Feather,2,VINICIUS MAGALHÃES,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Light,2,MARCIO FEITOSA,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Middle,2,ZE MARCELO,BOLAO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Medium Heavy,2,ANTONIO SHEMBRI,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Heavy,2,FABIO GURGEL,ALLIANCE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Super Heavy,2,DANIEL SIMÕES,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Ultra Heavy,2,JOHN MACHADO,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Open Class,2,ROBERTO MAGALHÃES,GRACIE BARRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Rooster,3,LUIZ SERGIO,CARLSON GRACIE
