Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Caio Terra,Gracie Elite Team,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Rooster,2,Fabbio Passos de Alencar,Alliance,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Rooster,3,Levy Oliveira Saraiva da Silva,Gracie Barra Vila Maia Guarujá,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Rooster,3,Raul Gomes Marcello,Gracie Humaita,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light-Feather,1,Henrique Rezende Costa e Silva,Alliance,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light-Feather,2,Rafael Freitas,Gracie Barra,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light-Feather,3,Gabriel Afonso dos Santos Moraes,CheckMat,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light-Feather,3,Laercio Fernandes,Lotus Club Jiu-Jitsu,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Feather,1,Rubens Charles Maciel,Alliance,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Feather,2,Justin S. Rader,Ribeiro Jiu-Jitsu,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Feather,3,Mayko de Araujo Girotto Borges,CheckMat,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Feather,3,Samir José Chantre Dahás,Gracie Elite Team,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light,1,Augusto Lopes Mendes,Soul Fighters International,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light,2,Jonathan Torres,Team Lloyd Irvin,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light,3,Dustin Baradaran Akbari,Cassio Werneck BJJ,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Light,3,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Middle,1,Dealonzio Jerome Jackson,Team Lloyd Irvin,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Middle,2,Clark Rouson Gracie,Carley Gracie Jiu-jitsu Academy,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Middle,3,Marcus V. C. Antelante,Soul Fighters BJJ,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Middle,3,Vitor Henrique Silva Oliveira,GF Team,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Medium-Heavy,1,Pablo Popovitch,The Avengers,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Medium-Heavy,2,Rômulo Claudio Barral,Gracie Barra,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Medium-Heavy,3,Ezra Zendt Lenon,American Top Team,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Medium-Heavy,3,Filipe Meirelles Bobrick,Alliance,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Heavy,1,Roberto Camargo de Alencar,Gracie Barra,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Heavy,2,Rafael Lovato Jr.,Ribeiro Jiu-Jitsu,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Heavy,3,Diego da Silveira Herzog,Gracie Elite Team,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Heavy,3,Nivaldo de Oliveira Lima,CheckMat,2012,World Jiu-Jitsu No Gi Championship 
Adult,Male,Black,Super-Heavy,1,Alexandre Couceiro Ribeiro,Ribeiro Jiu-Jitsu,2012,World Jiu-Jitsu No Gi Championship 
