Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Caio Terra,Brasa CTA,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Rooster,2,Yusuke Homma,Carpe Diem,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Rooster,3,Jorge Elias Bucaram Santistevan,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Rooster,3,Leandro Lopes Escobar,Soul Fighters BJJ,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light-Feather,1,João Ricardo Bordignon Miyao,PSLPB Cicero Costha,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light-Feather,2,Samir José Chantre Dahás,Samir Chantre BJJ,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light-Feather,3,Rafael Freitas,Gracie Barra,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light-Feather,3,Thomas Lincoln Correa Lisboa,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,1,Augusto Lopes Mendes,Soul Fighters BJJ,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,2,Osvaldo Augusto Honorio Moizinho,Gracie Fighter,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,3,Gianni Paul Grippo,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Feather,3,Paulo Henrique Bordignon Miyao,PSLPB Cicero Costha,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,1,Michael Alexandre Langhi,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,2,Mansher Khera,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,3,Thiago Aragão de Abreu,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Light,3,Thiago Cardial Gaia,Barbosa Jiu-Jitsu,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,1,Dealonzio Jerome Jackson,Team Lloyd Irvin,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,2,Jonathan T. Satava,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,3,Marcelo França Mafra,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Middle,3,Otavio Ferreira de Sousa,Gracie Barra,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,1,Lucas Daniel Silva Barbosa,Atos Jiu-Jitsu,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,2,Thiago Sá Fortes Silva,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,3,Charles Negromonte Santos,Gracie Barra,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Medium-Heavy,3,Matheus Oliveira Diniz,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,1,Felipe Carsalade Araujo Pena,Gracie Barra,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,2,Jackson Sousa dos Santos,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,3,Arnaldo Maidana de Oliveira,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Heavy,3,Felipe Menezes Bueno,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Super-Heavy,1,João Francisco de Moraes Assis,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Male,Black,Super-Heavy,2,Roberto Camargo de Alencar,Gracie Barra,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
