Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Brandon Mullins,Gracie Barra,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Rooster,2,Joseph Capizzi,Renzo Gracie,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,1,Caio Terra,Gracie Fighter,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,2,Laercio Lima,Lotus Club,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,3,Fabio Passos,Alliance,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,3,Henrique Rezende Costa e,Alliance,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,1,Rubens Charles Maciel,Alliance,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,2,Justin S Rader,Ribeiro JJ,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,3,Renan Borges,Brazilian Top Team,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,3,Samir Jose Chantre Dahas,Gracie Fighter,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,1,Lucas Alves Lepri,Alliance,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,2,Augusto Mendes,Soul Fighters,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,3,Philipe Cancado Della Monica,Gracie Barra,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,3,Marcel Goncalves,The Avengers,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,1,Victor de Oliveira Estima,Gracie Barra,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,2,Thiago Arango de Abreu,Check Mat Bjj,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,3,Marcelo Mafra,Check Mat Bjj,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,3,Davi Ramos Pinheiro da Silva,Atos,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Raphael Lovato Jr,Ribeiro JJ,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Pablo Popovitch,The Avengers,2011,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Marco Antonio Giudice Machado,Check Mat Bjj,2011,World Jiu-Jitsu No-Gi IBJJF Championship
