Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Rooster,1,Takeo Tani,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light Feather,1,Samuel Braga,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Feather,1,Rubens Maciel,Alliance
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,1,Jeff Glover,Alliance
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Middle,1,Pablo Popovitch,Team Popovitch
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,1,Marcel Louzado,Brasa
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Heavy,1,Roberto Camargo,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,1,Vinicius Magalhaes,Team Quest
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,1,Bruno Paulista,Gracie Barra America
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Open Class,1,Jeff Monson,American Top Team
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light Feather,2,Caio Terra,Cesar Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Feather,2,Shane Rice,Rickson
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,2,Daniel Aguiar,Renzo Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Middle,2,Daniel Correia,Relson Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,2,Luke Stewart,Ralph Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Heavy,2,Fabio Leopoldo,Renzo Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,2,Christiano Lazzarini,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,2,Jeff Monson,American Top Team
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Open Class,2,Bill Cooper,Alliance
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light Feather,3,John Ramirez,Bjj Revolution Team
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light Feather,3,Leandro Escobar,American Top Team
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Feather,3,Magno Gama,Renzo Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Feather,3,Diego Correia,Relson Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,3,Diego Saraiva,Knuckleup
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Light,3,Joao Silva,Aloisio Silva
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Middle,3,William Cooper,Alliance
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Middle,3,Lucas Leite,Brasa
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,3,Joao Felipe Oliveira,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Medium Heavy,3,Tony Eduardo Lima,Ralph Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Heavy,3,Alexandre Ferreira,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Heavy,3,Matheus Costa,Ryan Gracie
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Super Heavy,3,Roberto Abreu Filho,American Top Team
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,3,Rodrigo Medeiros,Brasa
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Ultra Heavy,3,Jose Mario Mac Cord,Brasa
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Open Class,3,Cristiano Lazarini,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Black,Male,Open Class,3,Roberto Camargo,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Brown Black,Female,Feather,1,Bianca Barreto,Gracie Barra
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Brown Black,Female,Light,1,Gazzy Parman,Undisputed
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Brown Black,Female,Middle,1,Hannette Staack,Carlson Gracie Team
World Jiu-Jitsu No-Gi IBJJF Championship,2007,Adult,Brown Black,Female,Medium Heavy,1,Penny Thomas,Maui Jiu-Jitsu
